,mac,vendor
383,64:d9:89:99:4a:eb,"Cisco Systems, Inc"
384,64:d9:89:99:4a:eb,"Cisco Systems, Inc"
385,64:d9:89:98:0b:74,"Cisco Systems, Inc"
388,00:2a:10:11:41:eb,"Cisco Systems, Inc"
389,84:3d:c6:06:22:1b,"Cisco Systems, Inc"
390,00:2a:10:11:41:e4,"Cisco Systems, Inc"
391,84:3d:c6:0a:00:34,"Cisco Systems, Inc"
392,84:3d:c6:0a:00:3b,"Cisco Systems, Inc"
393,64:d9:89:99:4a:e4,"Cisco Systems, Inc"
394,64:d9:89:98:0b:7b,"Cisco Systems, Inc"
395,64:d9:89:99:4a:eb,"Cisco Systems, Inc"
396,44:e4:d9:bc:c3:eb,"Cisco Systems, Inc"
397,c0:62:6b:e5:d5:5b,"Cisco Systems, Inc"
398,34:a8:4e:ba:99:8b,"Cisco Systems, Inc"
399,a8:9d:21:da:31:3b,"Cisco Systems, Inc"
400,c0:62:6b:e5:d5:5b,"Cisco Systems, Inc"
401,c0:62:6b:e5:d5:54,"Cisco Systems, Inc"
402,34:a8:4e:ba:99:84,"Cisco Systems, Inc"
403,44:e4:d9:bc:c3:e4,"Cisco Systems, Inc"
404,34:a8:4e:ba:92:7b,"Cisco Systems, Inc"
406,34:a8:4e:ba:92:44,"Cisco Systems, Inc"
407,94:f6:65:0e:a6:08,Ruckus Wireless
408,fc:5b:39:68:60:64,"Cisco Systems, Inc"
409,00:c8:8b:11:76:2b,"Cisco Systems, Inc"
410,14:5f:94:a0:93:cc,"Huawei Tech Co, Ltd"
411,00:c8:8b:11:76:24,"Cisco Systems, Inc"
412,94:f6:65:0e:a6:08,Ruckus Wireless
413,fc:5b:39:68:60:6b,"Cisco Systems, Inc"
414,44:d9:e7:91:e0:af,Ubiquiti Networks Inc
415,44:d9:e7:91:e0:af,Ubiquiti Networks Inc
417,b0:5b:67:29:47:9b,"Huawei Tech Co, Ltd"
419,04:18:d6:82:1e:3c,Ubiquiti Networks Inc
420,00:c8:8b:11:76:eb,"Cisco Systems, Inc"
421,fc:5b:39:68:60:6b,"Cisco Systems, Inc"
